,id,Time,Tweet
110,1366781769853280257,2023-01-30 11:54:17+00:00,b'COVID-19 and the flu are still here. Protecting yourself and others from serious illness by getting your vaccines a\xe2\x80\xa6 https://t.co/bNARNJuXmJ'
112,1052437535144796160,2023-01-30 11:54:11+00:00,"b'Insurance is crazy. Urgent care was really finna charge me $300 to tell me I have the flu and give me some meds, bu\xe2\x80\xa6 https://t.co/9LncMjXqWH'"
113,832247823269715968,2023-01-30 11:54:02+00:00,b'This flu will be the end of me'
114,3148022031,2023-01-30 11:53:25+00:00,"b""have to apologize again for lack of streaming but like I said I realized I wasn't well so I took some time off. I w\xe2\x80\xa6 https://t.co/MJ63Vm82Du"""
115,1443212834897268738,2023-01-30 11:53:15+00:00,"b'@catturd2 Who caused the avian flu in the first place? Chemtrails \xe2\x80\xa6.. control the food chain, control the energy co\xe2\x80\xa6 https://t.co/aWuq1lUx5D'"
117,961331673152487426,2023-01-30 11:52:45+00:00,"b'@ElianaRuth19 @JackLombardi @healthbyjames US. Average flu deaths 2001-2019, 42,000.\nUS. Covid deaths 2020, no vacc\xe2\x80\xa6 https://t.co/tLTkuZ4lit'"
119,1568336789219282947,2023-01-30 11:52:29+00:00,b'@45Jbama @MDease2 threshold cycles on scam PCR was dialed up so high that it false positive flu\\cold for the number\xe2\x80\xa6 https://t.co/qppC8zMOaS'
120,1609830940234088450,2023-01-30 11:52:18+00:00,"b""@milkihon3 @TrulyMonica Steps for fast recovery:\n\nDon't visit doctors / test labs unless absolutely needed\n\nPositiv\xe2\x80\xa6 https://t.co/iWSeTlUnqa"""
122,1045787440949219330,2023-01-30 11:51:53+00:00,"b'Yuck - still stuck with the flu, but gotta grab groceries.\n\nHeeeh... https://t.co/xNFmil1AQQ'"
124,1599073278181736450,2023-01-30 11:51:46+00:00,"b'""Like let me test...""\n\nPutting an hand on his forehead, she was able to feel a faint heat.\n\n""Maybe you\'d catched a\xe2\x80\xa6 https://t.co/U8LD2iPRlN'"
125,1519126636083429378,2023-01-30 11:51:28+00:00,"b'@ScottAdamsSays It was not a normal virus, it was a very bad flu that killed very old people over 85 who were obese\xe2\x80\xa6 https://t.co/TP529UKOym'"
126,1442481976062005254,2023-01-30 11:51:20+00:00,b'@King3784829900 @irishexaminer Flu? RSV? Covid? Other usual causes?'
128,1020703143619973124,2023-01-30 11:50:32+00:00,b'I feel like this is not just a viral flu.. I think it is coronaaaaaaa \xf0\x9f\xa6\xa0'
131,1487026711665467397,2023-01-30 11:50:27+00:00,"b'@45Jbama You didn\xe2\x80\x99t know, they cured the flu, Covid-19 cured it.. it was the only positive thing it did..'"
133,4440112094,2023-01-30 11:50:21+00:00,b'@GaryBateman1 @EssexPR @disclosetv It\xe2\x80\x99s almost as if we have little to no natural immunity because it\xe2\x80\x99s new? Unlike\xe2\x80\xa6 https://t.co/TXs7HEEwIz'
134,1489351076960735232,2023-01-30 11:50:08+00:00,b'Romania reports H5N1 bird flu outbreak on a farm https://t.co/bpKR6qqyOw #news #stocks'
135,732787392722182144,2023-01-30 11:50:05+00:00,"b'In the lab: Computer model of the flu virus shows *universal vaccine* promise. For the 1st time, scientists have cr\xe2\x80\xa6 https://t.co/e4F7M9joxz'"
136,2535771192,2023-01-30 11:50:01+00:00,b'@jwingnut @ericareport Me (5 total) By the way I got the flu shot too'
137,2455221483,2023-01-30 11:50:00+00:00,b'@miles_commodore Bird Flu.'
139,1446189041851019264,2023-01-30 11:49:27+00:00,"b""@elonmusk @ScottAdamsSays I'm 50 yr female, bmi 22, don't smoke, don't do drugs, never got COVID in fact haven't ha\xe2\x80\xa6 https://t.co/2peUdd3kUj"""
140,67156940,2023-01-30 11:49:26+00:00,"b'As an asthmatic, I could not get into vaccines as much as I wanted to because that shit would take me tf out. \xf0\x9f\x98\xad\xf0\x9f\x8c\x9a\n\nI\xe2\x80\xa6 https://t.co/h1NHqFpov3'"
141,1609210953983295488,2023-01-30 11:49:09+00:00,"b'You mean the Wuhan Flu, don\xe2\x80\x99t you?  \xe2\x80\xa6the China Virus? No? https://t.co/IeBqA9nNVP'"
142,136039633,2023-01-30 11:49:02+00:00,b'RT @PstrCHAMP: We FINALLY got him to a point he can hold some fluids down and some food. \n\nI really appreciate all the prayers. We\xe2\x80\x99ve felt\xe2\x80\xa6'
143,26604786,2023-01-30 11:49:00+00:00,"b'@SabinehazanMD No meds needed other than ibuprofen the first day (First time 9/2021 for headache, second time 12/20\xe2\x80\xa6 https://t.co/MtgGWQzbuZ'"
148,1345686455868293120,2023-01-30 11:48:21+00:00,"b""@LegendaryEnergy No democrats or liberal and labour party's lmao \xf0\x9f\xa4\xa3\nNo convid to funny hey .\nIvermectin isn't a hors\xe2\x80\xa6 https://t.co/oj9FLkn3GT"""
151,798321184488230912,2023-01-30 11:48:12+00:00,b'@ericareport Do you people realize that vaccines don\xe2\x80\x99t protect other people? You still get and spread Covid. Why ar\xe2\x80\xa6 https://t.co/gqUH98jCe2'
153,2288629741,2023-01-30 11:48:03+00:00,"b'@MichaelinAtlan2 @ElijahSchaffer Your just delusionally wrong but ok, the egg shortage is due to a bird flu going a\xe2\x80\xa6 https://t.co/XvtrpVloWv'"
157,102464379,2023-01-30 11:47:53+00:00,"b'@erbrooker Wearing a mask in the house of a cancer patient was likely a common request pre-COVID, especially in the\xe2\x80\xa6 https://t.co/siZOAQgMBT'"
159,2976616227,2023-01-30 11:47:47+00:00,b'RT @UKHSA_NorthWest: Here are some simple things we can all do to help stop #flu spreading: \n\xf0\x9f\x8f\xa1 Try to stay at home if you\xe2\x80\x99re unwell\n\xf0\x9f\x98\xb7 Wear\xe2\x80\xa6'
162,26828241,2023-01-30 11:47:15+00:00,b'RT @lancashirelad33: @RishiSunak I extend the exact amount of sympathy to Drakeford as HE extended to the many elderly\nWho were forced to d\xe2\x80\xa6'
163,1485882079,2023-01-30 11:47:08+00:00,b'RT @geometamorph: @RoxanneLJames Was that before or after allegedly nearly dying of bat flu?  \nLet\xe2\x80\x99s ask one of the unavailable for intervi\xe2\x80\xa6'
165,1101173738811375617,2023-01-30 11:47:01+00:00,b'@healthbyjames Got it 5 times and bit one side effect. Never hit or going to get the jab. It is the f*cking flu peo\xe2\x80\xa6 https://t.co/sOAAsI0raI'
