,id,Time,Tweet
118,1439916511309844481,2023-02-14 15:32:38+00:00,"b'@EthikaJeans Dengue, Sika, chikungunya y el maldito COVID\nEspero mi remera'"
119,1253916708693303298,2023-02-14 15:32:01+00:00,"b'Organized Community awareness  session on Dengue and Malaria by EMBED team Bhopal, given message to prevent pregnan... https://t.co/mnNcKOfgLP'"
120,1488552532829949955,2023-02-14 15:31:24+00:00,"b'#IMPORTANTE: Dr. Raul Copana, informo que ayer por la madrigada ingreso por emergencia un menor a internarse por c... https://t.co/nvig9ZLN7U'"
121,1342196184237137928,2023-02-14 15:31:05+00:00,"b'Cheirinho de agua da cedae, se pegar a agua da escola e a boca dele da positivo pra dengue certeza. (vitor falando) KKKKKKKKKKKKKKKK'"
122,728703034751111168,2023-02-14 15:30:25+00:00,"b'#ExitoNoticias\nDebido a la falta de espacio en hospitales, los menores no pudieron ser internados a tiempo. \nhttps://t.co/3WefLYHwPh'"
123,118861947,2023-02-14 15:30:01+00:00,b'La mayoria de los casos autoctonos de dengue atendidos en Cochabamba se registran en los municipios de Villa Tunari... https://t.co/PFQT1kMHqv'
124,592979343,2023-02-14 15:29:59+00:00,"b'El paciente ingreso con sintomas el 6 de febrero, tras regresar, de un viaje a Bolivia, el 27 de enero y recibio el... https://t.co/DDDIX5okeE'"
125,941417430433312770,2023-02-14 15:29:52+00:00,b'A midia redescobriu a dengue e a chicungunnha.'
126,3024881137,2023-02-14 15:29:51+00:00,b'@BuntyBRS Anna pasumamla village Lake lo moosi neeru valla parisaralu debbathintunnai domalu. Ekkuvainai  prajalu d... https://t.co/eyPaq7UJHx'
127,1055130144,2023-02-14 15:29:46+00:00,b'PREVENCION DEL DENGUE: Control Focal y Descacharreo en el Barrio Juan XXIII https://t.co/glTCdk8tQb https://t.co/6qSTvc3F9V'
130,4243001860,2023-02-14 15:28:16+00:00,b'diagnostico 1: covid\ndiagnostico 2: sinusite\ndiagnostico 3: bronquite\nproximo diagnostico: dengue '
132,732591196774748160,2023-02-14 15:26:32+00:00,"b'#Bolivia | #Salud\nEl sabado, la infante habria presentado fiebre, por lo que sus padres la llevaron a un centro med... https://t.co/MxjQYa63wR'"
133,844551121427324929,2023-02-14 15:26:07+00:00,b'Genome sequencing of dengue virus serotype 4 in a bat brain sample (Platyrrhinus helleri) from the Brazilian Amazon... https://t.co/UxB77YOL7W'
134,1581729492455882752,2023-02-14 15:25:11+00:00,b'So que me faltava essa suspeita de dengue '
