,id,Time,Tweet
140,1586994486051233792,2023-02-14 14:33:01+00:00,"b""@Chali910 Ok thanks I swear my asthma ruins thingsit's the reason my tooth is taking long to heal after extract(... https://t.co/ZkIeQXl2vr"""
141,202156110,2023-02-14 14:32:41+00:00,b'@Tamara39224 High exposure at school.  No asthma. Never had any serious medical problems except some food related G... https://t.co/QeDiJEH61W'
142,1468266714345492484,2023-02-14 14:32:22+00:00,b'Good read on gas stove regulation and the bad RMI asthma study. \n\nhttps://t.co/riQiOpvOZv'
143,1545468746411950080,2023-02-14 14:32:10+00:00,b'she aint breathe not once  i know a few who be sounding like they having a asthma attack on the mic'
144,1382969374244540419,2023-02-14 14:30:58+00:00,b'your city gave me asthma'
145,1574852332839239680,2023-02-14 14:30:49+00:00,b'@bozzvanc1 Blocked  https://t.co/gDKDPQTymM'
146,2858417605,2023-02-14 14:30:29+00:00,"b'In 3 asthma trials conducted in the US and UK, patients demonstrated high compliance with remote spirometry measure... https://t.co/dE1y4jX60G'"
147,1171428102301335564,2023-02-14 14:29:07+00:00,b'#OpenAccess\nClinical Associations of Mucus Plugging in Moderate to Severe Asthma \nhttps://t.co/Jipw5EJU5q... https://t.co/2hkJyJUqvt'
148,1122698466575077376,2023-02-14 14:28:52+00:00,b'From National Park Service Lego Vignettes  https://t.co/ZlEfqL3Iza'
150,4078820113,2023-02-14 14:26:42+00:00,b'Hahahaha pls be kind to my lungs po bukas me hab asthma'
151,416138180,2023-02-14 14:26:16+00:00,"b""@DudleyBarton3 @darley_mike @NHSMillion Asthma isn't a category e illness. You can pay a prepayment."""
152,2270764267,2023-02-14 14:26:13+00:00,b'@xMrBallerx Not gonna lie shit heavy as hell i almost had a asthma attack putting it on'
153,29158159,2023-02-14 14:25:50+00:00,b'RT @tmmRESPIRATORY: A multidisciplinary team and a patient advocate discuss how to best manage severe asthma in children and support patien...'
154,1209545797689151488,2023-02-14 14:25:49+00:00,b'@Pandji_Asthma @bozzvanc1 @1211Zzays_ @5oul4ntidote @airakitchen @akunke10_212 @Aliffqu @Bharata_ja @Utero_2023 @ramaArsy1 '
158,744246930985746433,2023-02-14 14:25:10+00:00,b'@pewpewze Mental breakdowns about Aonung and near death experiences with your asthma '
159,2886249473,2023-02-14 14:24:11+00:00,b'@Fox35Amy @ryanelijah @Fox35Danielle @allisongargaro @JaymeKingFox35 Thank you! Spending it in the hospital. I got... https://t.co/sJUO5q1yqO'
160,1108709753860046850,2023-02-14 14:23:10+00:00,"b'@ReddogOHIO &amp; asthma is relatively common &amp;  manageable, so it is very likely (&amp; I hope) that is it.  \n\nSo I kno... https://t.co/ej8fYjDDNy'"
161,1574852332839239680,2023-02-14 14:23:06+00:00,b'@Yunardi99 @bozzvanc1 @1211Zzays_ @5oul4ntidote @airakitchen @akunke10_212 @Aliffqu @Bharata_ja @Utero_2023... https://t.co/7szPEAXZzP'
162,1125727031407173634,2023-02-14 14:22:22+00:00,"b'Relation between Shortness of breath and Asthma. Learn about the causes, diagnosis, and more in this comprehensive... https://t.co/0142tDdycH'"
163,915635300252180482,2023-02-14 14:20:25+00:00,"b'@tedcruz Roses are all kinds of colors. You need you get out more, maybe to a garden store.     Violets are purple.... https://t.co/Y5tvWWrsJ6'"
166,776773021,2023-02-14 14:17:41+00:00,"b'@HildaSolis To pay property taxes insurance and utilities that increase every year, plus going through the inflatio... https://t.co/N79O2bFu1F'"
167,413511464,2023-02-14 14:17:39+00:00,"b'@joansin4acure Awe I hope you feel better. Both times when I had it, I had to check in since it was early on in the... https://t.co/0XbpAeZNVd'"
168,1476554353284689922,2023-02-14 14:17:06+00:00,b'Asthma really be acting up out the blue. why I was breathing just fine all day yesterday and today I feel like some... https://t.co/dV232dPvHv'
169,893164199068794880,2023-02-14 14:16:50+00:00,"b'RT @weathernetwork: Not only is asthma common among ice hockey players, but malfunctioning gas-powered ice resurfacers have sent people to...'"
