,symptoms1,tags
2515,No,stroke
2519,No,stroke
2530,No,stroke
2537,No,stroke
2538,No,stroke
2541,No,stroke
2545,No,stroke
2554,No,stroke
2570,No,stroke
2580,No,stroke
2584,No,stroke
2585,No,stroke
2590,No,stroke
2611,No,stroke
2612,No,stroke
2617,No,stroke
2630,No,stroke
2652,No,stroke
2653,No,stroke
2655,No,stroke
2657,No,stroke
2669,No,stroke
2670,No,stroke
2676,No,stroke
2677,No,stroke
2681,No,stroke
2686,No,stroke
2702,No,stroke
2704,No,stroke
2707,No,stroke
2712,No,stroke
2714,No,stroke
2736,No,stroke
2739,No,stroke
2747,No,stroke
2748,No,stroke
2773,No,stroke
2776,No,stroke
2778,No,stroke
2781,No,stroke
2787,No,stroke
2788,No,stroke
2789,No,stroke
2793,No,stroke
2796,No,stroke
2797,No,stroke
2814,No,stroke
2817,No,stroke
2821,No,stroke
2831,No,stroke
2843,No,stroke
2844,No,stroke
2870,No,stroke
2871,No,stroke
2876,No,stroke
2880,No,stroke
2888,No,stroke
2903,No,stroke
2904,No,stroke
2911,No,stroke
2918,No,stroke
2920,No,stroke
2922,No,stroke
2929,No,stroke
2933,No,stroke
2941,No,stroke
2945,No,stroke
2965,No,stroke
2966,No,stroke
2969,No,stroke
2979,No,stroke
2983,No,stroke
2989,No,stroke
2994,No,stroke
3558,No,flu
3560,No,flu
3564,No,flu
3570,No,flu
3571,No,flu
3574,No,flu
3577,No,flu
3579,No,flu
3586,No,flu
3589,No,flu
3591,No,flu
3597,No,flu
3609,No,flu
3610,No,flu
3614,No,flu
3620,No,flu
3623,No,flu
3627,No,flu
3633,No,flu
3634,No,flu
3642,No,flu
3649,No,flu
3650,No,flu
3652,No,flu
3653,No,flu
3658,No,flu
3660,No,flu
3661,No,flu
3664,No,flu
3666,No,flu
3673,No,flu
3674,No,flu
3687,No,flu
3690,No,flu
3692,No,flu
3693,No,flu
3695,No,flu
3696,No,flu
3703,No,flu
3707,No,flu
3709,No,flu
3720,No,flu
3728,No,flu
3735,No,flu
3746,No,flu
3749,No,flu
3751,No,flu
3755,No,flu
3758,No,flu
3760,No,flu
3761,No,flu
3764,No,flu
3771,No,flu
3772,No,flu
3779,No,flu
3780,No,flu
3783,No,flu
3784,No,flu
3786,No,flu
3790,No,flu
3792,No,flu
3795,No,flu
3797,No,flu
3806,No,flu
3818,No,flu
3821,No,flu
3824,No,flu
3827,No,flu
3828,No,flu
3835,No,flu
3847,No,flu
3849,No,flu
3852,No,flu
3858,No,flu
3865,No,flu
3866,No,flu
3870,No,flu
3871,No,flu
3872,No,flu
3880,No,flu
3882,No,flu
3888,No,flu
3890,No,flu
3893,No,flu
3905,No,flu
3912,No,flu
3918,No,flu
3920,No,flu
3928,No,flu
3942,No,flu
3946,No,flu
3949,No,flu
3952,No,flu
3961,No,flu
3973,No,flu
3975,No,flu
3977,No,flu
3984,No,flu
3988,No,flu
3989,No,flu
3992,No,flu
4000,No,flu
4006,No,flu
4009,No,flu
4018,No,flu
4021,No,flu
4029,No,flu
4033,No,flu
4034,No,flu
4037,No,flu
4040,No,flu
4041,No,flu
4043,No,flu
4044,No,flu
4047,No,flu
4053,No,flu
4070,No,flu
4083,No,flu
4085,No,flu
4094,No,flu
4097,No,flu
4104,No,flu
4105,No,flu
4107,No,flu
4108,No,flu
4116,No,flu
4129,No,flu
4135,No,flu
4139,No,flu
4140,No,flu
4152,No,flu
4155,No,flu
4173,No,flu
4175,No,flu
4183,No,flu
4184,No,flu
4186,No,flu
4188,No,flu
4194,No,flu
4202,No,flu
4203,No,flu
4204,No,flu
4205,No,flu
4208,No,flu
4210,No,flu
4211,No,flu
4212,No,flu
4215,No,flu
4216,No,flu
4222,No,flu
4226,No,flu
4228,No,flu
4235,No,flu
4239,No,flu
4240,No,flu
4241,No,flu
4247,No,flu
4248,No,flu
4250,No,flu
4252,No,flu
4253,No,flu
4254,No,flu
4255,No,flu
4258,No,flu
4261,No,flu
4263,No,flu
4268,No,flu
4269,No,flu
4270,No,flu
4279,No,flu
4300,No,flu
4305,No,flu
4320,No,obesity
4332,No,obesity
4339,No,obesity
4346,No,obesity
4351,No,obesity
4358,No,obesity
4367,No,obesity
4372,No,obesity
4380,No,obesity
4382,No,obesity
4384,No,obesity
4386,No,obesity
4389,No,obesity
4397,No,obesity
4417,No,obesity
4423,No,obesity
4425,No,obesity
4428,No,obesity
4442,No,obesity
4455,No,obesity
4460,No,obesity
4464,No,obesity
4467,No,obesity
4468,No,obesity
4472,No,obesity
4475,No,obesity
4476,No,obesity
4486,No,obesity
4491,No,obesity
4495,No,obesity
4503,No,obesity
4518,No,obesity
4519,No,obesity
4525,No,obesity
4529,No,obesity
4543,No,obesity
4560,No,obesity
4563,No,obesity
4570,No,obesity
4597,No,obesity
4600,No,obesity
4618,No,obesity
4619,No,obesity
4626,No,obesity
4628,No,obesity
4631,No,obesity
4639,No,obesity
4648,No,obesity
4655,No,obesity
4659,No,obesity
4674,No,obesity
4680,No,obesity
4683,No,obesity
4685,No,obesity
4686,No,obesity
4688,No,obesity
4689,No,obesity
4699,No,obesity
4701,No,obesity
4709,No,obesity
4713,No,obesity
4722,No,obesity
4723,No,obesity
4731,No,obesity
4738,No,obesity
4747,No,obesity
4761,No,obesity
4767,No,obesity
4769,No,obesity
4777,No,obesity
4782,No,obesity
4796,No,obesity
4803,No,obesity
4810,No,obesity
4822,No,obesity
4834,No,obesity
4839,No,obesity
